date,name,value
1/1/2000,Coca-Cola,72537
1/1/2000,Microsoft,70196
1/1/2000,IBM,53183
1/1/2000,Intel,39048
1/1/2000,Nokia,38528
1/1/2000,GE,38127
1/1/2000,Ford,36368
1/1/2000,Disney,33553
1/1/2000,McDonald's,27859
1/1/2000,AT&T,25548
1/1/2000,Marlboro,22110
1/1/2000,Mercedes-Benz,21104
1/1/2000,HP,20572
1/1/2000,Cisco,20067
1/1/2000,Toyota,18823
1/1/2000,Citi,18809
1/1/2000,Gillette,17358
1/1/2000,Sony,16409
1/1/2000,American Express,16122
1/1/2000,Honda,15244
1/1/2000,Compaq,14602
1/1/2000,NESCAF??,13680
1/1/2000,BMW,12969
1/1/2000,Kodak,11822
1/1/2000,Heinz,11742
1/1/2000,Budweiser,10684
1/1/2000,Xerox,9699
1/1/2000,Dell,9476
1/1/2000,Gap,9316
1/1/2000,Nike,8015
1/1/2000,Volkswagen,7834
1/1/2000,Ericsson,7805
1/1/2000,Kellogg's,7357
1/1/2000,Louis Vuitton,6887
1/1/2000,Pepsi,6636
1/1/2000,Apple,6594
1/1/2000,MTV,6411
1/1/2000,Yahoo!,6299
1/1/2000,SAP,6135
1/1/2000,IKEA,6031
1/1/2000,Duracell,5885
1/1/2000,Philips,5481
1/1/2000,Samsung,5223
1/1/2000,Gucci,5149
1/1/2000,Kleenex,5144
1/1/2000,Reuters,4876
1/1/2000,AOL,4531
1/1/2000,Amazon,4528
1/1/2000,Motorola,4445
1/1/2000,Colgate,4417
1/1/2000,Wrigley,4324
1/1/2000,Chanel,4141
1/1/2000,adidas,3791
1/1/2000,Panasonic,3734
1/1/2000,Rolex,3561
1/1/2000,Hertz,3438
1/1/2000,Bacardi,3187
1/1/2000,BP,3066
1/1/2000,Mo?®t & Chandon,2799
1/1/2000,Shell,2786
1/1/2000,Burger King,2701
1/1/2000,Smirnoff,2443
1/1/2000,Barbie,2315
1/1/2000,Heineken,2218
1/1/2000,Wall Street Journal,2184
1/1/2000,Ralph Lauren,1834
1/1/2000,Johnnie Walker,1541
1/1/2000,Hilton,1483
1/1/2000,Jack Daniel's,1480
1/1/2000,Armani,1456
1/1/2000,Pampers,1400
1/1/2000,Starbucks,1329
1/1/2000,Guinness,1224
1/1/2000,Financial Times,1148
1/1/2000,Benetton,1008
1/1/2001,Coca-Cola,68945
1/1/2001,Microsoft,65068
1/1/2001,IBM,52752
1/1/2001,GE,42396
1/1/2001,Nokia,35035
1/1/2001,Intel,34665
1/1/2001,Disney,32591
1/1/2001,Ford,30092
1/1/2001,McDonald's,25289
1/1/2001,AT&T,22828
1/1/2001,Marlboro,22053
1/1/2001,Mercedes-Benz,21728
1/1/2001,Citi,19005
1/1/2001,Toyota,18578
1/1/2001,HP,17983
1/1/2001,Cisco,17209
1/1/2001,American Express,16919
1/1/2001,Gillette,15298
1/1/2001,Merrill Lynch,15015
1/1/2001,Sony,15005
1/1/2001,Honda,14638
1/1/2001,BMW,13858
1/1/2001,NESCAF??,13250
1/1/2001,Compaq,12354
1/1/2001,Oracle,12224
1/1/2001,Budweiser,10838
1/1/2001,Kodak,10801
1/1/2001,"Merck & Co., Inc.",9672
1/1/2001,Nintendo,9460
1/1/2001,Pfizer,8951
1/1/2001,Gap,8746
1/1/2001,Dell,8269
1/1/2001,Goldman Sachs,7862
1/1/2001,Nike,7589
1/1/2001,Volkswagen,7338
1/1/2001,Ericsson,7069
1/1/2001,Heinz,7062
1/1/2001,Louis Vuitton,7053
1/1/2001,Kellogg's,7005
1/1/2001,MTV,6599
1/1/2001,Canon,6580
1/1/2001,Samsung,6374
1/1/2001,SAP,6307
1/1/2001,Pepsi,6214
1/1/2001,Xerox,6019
1/1/2001,IKEA,6005
1/1/2001,Pizza Hut,5978
1/1/2001,Harley-Davidson,5532
1/1/2001,Apple,5464
1/1/2001,Gucci,5363
1/1/2001,KFC,5261
1/1/2001,Reuters,5236
1/1/2001,Sun Microsystems,5149
1/1/2001,Kleenex,5085
1/1/2001,Philips,4900
1/1/2001,Colgate,4572
1/1/2001,Wrigley,4530
1/1/2001,AOL,4495
1/1/2001,Yahoo!,4378
1/1/2001,Avon,4369
1/1/2001,Chanel,4265
1/1/2001,Duracell,4140
1/1/2001,Boeing,4060
1/1/2001,Texas Instruments,4041
1/1/2001,Kraft,4032
1/1/2001,Motorola,3761
1/1/2001,Levi's,3747
1/1/2001,Time,3724
1/1/2001,Rolex,3701
1/1/2001,adidas,3650
1/1/2001,Hertz,3617
1/1/2001,Panasonic,3490
1/1/2001,Tiffany & Co.,3483
1/1/2001,BP,3247
1/1/2001,Bacardi,3204
1/1/2001,Amazon,3130
1/1/2001,Shell,2844
1/1/2001,Smirnoff,2594
1/1/2001,Mo?®t & Chandon,2470
1/1/2001,Burger King,2426
1/1/2001,Mobil,2415
1/1/2001,Heineken,2266
1/1/2001,Wall Street Journal,2184
1/1/2001,Barbie,2037
1/1/2001,Ralph Lauren,1910
1/1/2001,FedEx,1885
1/1/2001,Nivea,1782
1/1/2001,Starbucks,1757
1/1/2001,Johnnie Walker,1649
1/1/2001,Jack Daniel's,1583
1/1/2001,Armani,1490
1/1/2001,Pampers,1410
1/1/2001,Absolut,1378
1/1/2001,Guinness,1357
1/1/2001,Financial Times,1310
1/1/2001,Hilton,1235
1/1/2001,Carlsberg,1075
1/1/2001,Siemens,1029
1/1/2001,Swatch,1004
1/1/2001,Benetton,1002
1/1/2002,Coca-Cola,69637
1/1/2002,Microsoft,64091
1/1/2002,IBM,51188
1/1/2002,GE,41311
1/1/2002,Intel,30861
1/1/2002,Nokia,29970
1/1/2002,Disney,29256
1/1/2002,McDonald's,26375
1/1/2002,Marlboro,24151
1/1/2002,Mercedes-Benz,21010
1/1/2002,Ford,20403
1/1/2002,Toyota,19448
1/1/2002,Citi,18066
1/1/2002,HP,16776
1/1/2002,American Express,16287
1/1/2002,Cisco,16222
1/1/2002,AT&T,16059
1/1/2002,Honda,15064
1/1/2002,Gillette,14959
1/1/2002,BMW,14425
1/1/2002,Sony,13899
1/1/2002,NESCAF??,12843
1/1/2002,Oracle,11510
1/1/2002,Budweiser,11349
1/1/2002,Merrill Lynch,11230
1/1/2002,Morgan Stanley,11205
1/1/2002,Compaq,9803
1/1/2002,Pfizer,9770
1/1/2002,J.P. Morgan,9693
1/1/2002,Kodak,9671
1/1/2002,Dell,9237
1/1/2002,Nintendo,9219
1/1/2002,"Merck & Co., Inc.",9138
1/1/2002,Samsung,8310
1/1/2002,Nike,7724
1/1/2002,Gap,7406
1/1/2002,Heinz,7347
1/1/2002,Volkswagen,7209
1/1/2002,Goldman Sachs,7194
1/1/2002,Kellogg's,7191
1/1/2002,Louis Vuitton,7054
1/1/2002,SAP,6775
1/1/2002,Canon,6721
1/1/2002,IKEA,6545
1/1/2002,Pepsi,6394
1/1/2002,Harley-Davidson,6266
1/1/2002,MTV,6078
1/1/2002,Pizza Hut,6046
1/1/2002,KFC,5346
1/1/2002,Apple,5316
1/1/2002,Xerox,5308
1/1/2002,Gucci,5304
1/1/2002,Accenture,5182
1/1/2002,L'Or??al,5079
1/1/2002,Kleenex,5039
1/1/2002,Sun Microsystems,4773
1/1/2002,Wrigley,4747
1/1/2002,Reuters,4611
1/1/2002,Colgate,4602
1/1/2002,Philips,4561
1/1/2002,Nestl??,4430
1/1/2002,Avon,4399
1/1/2002,AOL,4326
1/1/2002,Chanel,4272
1/1/2002,Kraft,4079
1/1/2002,Danone,4054
1/1/2002,Yahoo!,3855
1/1/2002,adidas,3690
1/1/2002,Rolex,3686
1/1/2002,Time,3682
1/1/2002,Ericsson,3589
1/1/2002,Tiffany & Co.,3482
1/1/2002,Levi's,3454
1/1/2002,Motorola,3416
1/1/2002,Duracell,3409
1/1/2002,BP,3390
1/1/2002,Hertz,3362
1/1/2002,Bacardi,3341
1/1/2002,Caterpillar,3218
1/1/2002,Amazon,3175
1/1/2002,Panasonic,3141
1/1/2002,Boeing,2973
1/1/2002,Shell,2810
1/1/2002,Smirnoff,2723
1/1/2002,Johnson & Johnson,2509
1/1/2002,Prada,2489
1/1/2002,Mo?®t & Chandon,2445
1/1/2002,Heineken,2396
1/1/2002,Mobil,2358
1/1/2002,Burger King,2163
1/1/2002,Nivea,2059
1/1/2002,Wall Street Journal,1961
1/1/2002,Starbucks,1961
1/1/2002,Barbie,1937
1/1/2002,Ralph Lauren,1928
1/1/2002,FedEx,1919
1/1/2002,Johnnie Walker,1654
1/1/2002,Jack Daniel's,1580
1/1/2002,3M,1579
1/1/2002,Armani,1509
1/1/2003,Coca-Cola,70453
1/1/2003,Microsoft,65174
1/1/2003,IBM,51767
1/1/2003,GE,42340
1/1/2003,Intel,31112
1/1/2003,Nokia,29440
1/1/2003,Disney,28036
1/1/2003,McDonald's,24699
1/1/2003,Marlboro,22183
1/1/2003,Mercedes-Benz,21371
1/1/2003,Toyota,20784
1/1/2003,HP,19860
1/1/2003,Citi,18571
1/1/2003,Ford,17066
1/1/2003,American Express,16833
1/1/2003,Gillette,15978
1/1/2003,Cisco,15789
1/1/2003,Honda,15625
1/1/2003,BMW,15106
1/1/2003,Sony,13153
1/1/2003,NESCAF??,12336
1/1/2003,Budweiser,11894
1/1/2003,Pepsi,11777
1/1/2003,Oracle,11263
1/1/2003,Samsung,10846
1/1/2003,Morgan Stanley,10691
1/1/2003,Merrill Lynch,10521
1/1/2003,Pfizer,10455
1/1/2003,Dell,10367
1/1/2003,"Merck & Co., Inc.",9407
1/1/2003,J.P. Morgan,9120
1/1/2003,Nintendo,8190
1/1/2003,Nike,8167
1/1/2003,Kodak,7826
1/1/2003,SAP,7714
1/1/2003,Gap,7688
1/1/2003,HSBC,7565
1/1/2003,Kellogg's,7438
1/1/2003,Canon,7192
1/1/2003,Heinz,7097
1/1/2003,Goldman Sachs,7039
1/1/2003,Volkswagen,6938
1/1/2003,IKEA,6918
1/1/2003,Harley-Davidson,6775
1/1/2003,Louis Vuitton,6708
1/1/2003,MTV,6278
1/1/2003,L'Or??al,5600
1/1/2003,Xerox,5578
1/1/2003,KFC,5576
1/1/2003,Apple,5554
1/1/2003,Pizza Hut,5312
1/1/2003,Accenture,5301
1/1/2003,Gucci,5100
1/1/2003,Kleenex,5057
1/1/2003,Wrigley,5057
1/1/2003,Colgate,4686
1/1/2003,Avon,4631
1/1/2003,Sun Microsystems,4465
1/1/2003,Philips,4464
1/1/2003,Nestl??,4460
1/1/2003,Chanel,4315
1/1/2003,Danone,4237
1/1/2003,Kraft,4171
1/1/2003,AOL,3961
1/1/2003,Yahoo!,3895
1/1/2003,Time,3784
1/1/2003,adidas,3679
1/1/2003,Rolex,3673
1/1/2003,BP,3582
1/1/2003,Tiffany & Co.,3540
1/1/2003,Duracell,3438
1/1/2003,Bacardi,3431
1/1/2003,Herm??s,3416
1/1/2003,Amazon,3403
1/1/2003,Caterpillar,3363
1/1/2003,Reuters,3300
1/1/2003,Levi's,3298
1/1/2003,Hertz,3288
1/1/2003,Panasonic,3257
1/1/2003,Ericsson,3153
1/1/2003,Motorola,3103
1/1/2003,Hennessy,2996
1/1/2003,Shell,2983
1/1/2003,Boeing,2864
1/1/2003,Smirnoff,2806
1/1/2003,Johnson & Johnson,2706
1/1/2003,Prada,2535
1/1/2003,Mo?®t & Chandon,2524
1/1/2003,Nissan,2495
1/1/2003,Heineken,2431
1/1/2003,Mobil,2407
1/1/2003,Nivea,2221
1/1/2003,Starbucks,2136
1/1/2003,Burger King,2121
1/1/2003,Ralph Lauren,2048
1/1/2003,FedEx,2032
1/1/2003,Barbie,1873
1/1/2003,Wall Street Journal,1763
1/1/2003,Johnnie Walker,1724
1/1/2003,Jack Daniel's,1612
1/1/2004,Coca-Cola,67394
1/1/2004,Microsoft,61372
1/1/2004,IBM,53791
1/1/2004,GE,44111
